Item,Not helpful,Somewhat unhelpful,Unsure,Somewhat helpful,Very helpful
"""Resident wellness""",1,0,5,11,45
"""Fellowship placements""",2,0,11,24,25
"""Interview process""",0,1,6,13,42
"""Educational sessions""",2,2,12,20,25
"""Technical skills training""",0,2,12,15,32
"""Research opportunities""",2,0,11,16,33
"""International medicine""",3,5,17,18,18
"""Opportunities for degrees/graduate classes""",5,4,18,13,21
"""Diversity, Equity, and Inclusion""",0,0,10,16,35
"""Alumni activity""",2,2,14,13,31
"""Teaching opportunities""",1,2,16,13,30
"""Conference funding""",2,2,17,18,23
"""Board preparation""",0,0,13,15,34
"""Leadership training""",2,4,14,14,27
"""Training on transition""",1,1,10,18,32
