Item,Not helpful,Somewhat unhelpful,Unsure,Somewhat helpful,Very helpful
"""Resident wellness""",1,1,3,20,37
"""Fellowship placements""",0,1,2,16,43
"""Interview process""",0,3,0,23,36
"""Educational sessions""",0,2,9,28,23
"""Technical skills training""",1,2,4,23,32
"""Research opportunities""",0,0,6,23,33
"""International medicine""",3,6,3,13,19
"""Opportunities for degrees/graduate classes""",4,5,20,8,24
"""Diversity, Equity, and Inclusion""",1,3,11,21,26
"""Alumni activity""",1,2,8,20,31
"""Teaching opportunities""",0,2,6,21,33
"""Conference funding""",0,5,9,19,29
"""Board preparation""",0,2,5,15,40
"""Leadership training""",0,5,10,21,26
"""Training on transition""",0,2,10,15,35
